id,split,label_bin
8584.json,train,1
7856.json,train,0
4576.json,train,0
4042.json,train,0
8576.json,test,0
9872.json,train,1
8232.json,train,1
9323.json,test,0
5744.json,train,0
6593.json,train,1
10032.json,train,1
3536.json,train,0
13003.json,train,0
6971.json,valid,1
5916.json,train,1
4933.json,train,1
13049.json,test,1
8823.json,train,0
4870.json,train,1
386.json,test,0
4341.json,train,0
4829.json,train,1
13169.json,train,0
7296.json,train,0
7002.json,train,1
3250.json,train,1
1704.json,train,1
7418.json,test,0
11499.json,train,0
5024.json,train,1
5755.json,train,1
12414.json,train,1
3552.json,train,0
322.json,train,1
8460.json,train,0
10877.json,train,0
5667.json,train,1
1769.json,train,0
703.json,train,0
7363.json,train,0
13219.json,train,0
6891.json,valid,1
35.json,train,0
3555.json,train,0
11477.json,train,0
3014.json,train,0
12627.json,test,0
2517.json,train,1
13118.json,train,0
3439.json,train,0
8263.json,train,0
10186.json,train,0
785.json,train,0
8560.json,train,1
4133.json,train,0
9271.json,train,1
10156.json,train,0
3911.json,train,0
693.json,train,1
5255.json,train,0
10764.json,train,0
12148.json,train,0
12260.json,train,1
7302.json,train,0
5650.json,valid,1
10634.json,valid,1
9097.json,train,1
1797.json,valid,0
1449.json,train,1
8468.json,train,0
10716.json,train,1
6496.json,train,1
3215.json,test,1
658.json,valid,1
11301.json,train,1
3857.json,train,1
3379.json,valid,1
12773.json,train,0
11244.json,train,0
2192.json,train,1
10806.json,test,0
13430.json,train,0
12587.json,train,0
3324.json,train,0
4173.json,train,1
13226.json,train,0
12725.json,train,1
9737.json,test,1
2123.json,valid,0
7370.json,train,0
10640.json,train,1
2525.json,train,1
11659.json,train,1
296.json,train,0
3777.json,train,1
1116.json,train,0
807.json,train,0
2463.json,train,1
3585.json,train,0
2955.json,train,1
9161.json,train,0
3726.json,test,0
7374.json,train,1
6510.json,train,0
5634.json,train,1
11258.json,train,0
6472.json,train,0
10165.json,train,1
7971.json,train,1
8322.json,valid,1
12958.json,train,0
10726.json,train,0
1363.json,train,1
5917.json,train,1
13223.json,train,1
10293.json,test,0
4693.json,valid,1
12448.json,test,1
9552.json,train,0
7488.json,valid,0
1026.json,valid,0
3277.json,train,0
10938.json,train,0
4347.json,train,1
6141.json,test,1
557.json,train,1
3367.json,train,1
54.json,train,0
448.json,train,1
12662.json,test,0
13125.json,test,1
12435.json,train,0
3803.json,test,0
4299.json,train,1
1622.json,train,1
503.json,train,0
425.json,train,1
12902.json,train,0
1420.json,test,0
4222.json,train,0
11819.json,train,1
2439.json,train,1
953.json,train,1
12188.json,train,1
9265.json,train,1
2714.json,train,0
11714.json,train,0
2504.json,train,1
8217.json,train,0
7124.json,train,0
11129.json,train,0
11327.json,test,0
13058.json,test,0
13088.json,train,0
2703.json,train,1
3410.json,train,1
6256.json,train,1
7767.json,train,0
10725.json,train,1
5868.json,train,0
7138.json,train,0
4116.json,test,1
12951.json,valid,1
6105.json,train,1
11905.json,train,1
1563.json,train,1
6629.json,train,1
970.json,train,1
1911.json,train,0
7697.json,train,1
10234.json,valid,1
9972.json,train,0
7973.json,train,1
6860.json,valid,1
5718.json,train,1
5545.json,train,1
3314.json,train,1
6486.json,train,1
11852.json,train,1
7025.json,train,1
11800.json,train,0
4383.json,test,1
8408.json,train,1
8248.json,train,0
1426.json,train,0
7245.json,train,0
12426.json,train,0
11481.json,train,0
2537.json,train,0
4084.json,train,1
8737.json,train,0
208.json,valid,0
4470.json,train,0
11636.json,train,1
182.json,train,0
12616.json,train,1
12374.json,train,0
1989.json,train,0
4645.json,train,1
584.json,train,1
6261.json,train,1
299.json,valid,0
8397.json,train,1
5512.json,test,1
6239.json,test,1
3791.json,valid,1
7032.json,train,1
7944.json,train,0
9527.json,train,1
11783.json,train,1
3180.json,train,0
13370.json,train,1
163.json,valid,1
2739.json,train,1
4850.json,train,0
526.json,test,1
5227.json,train,1
6046.json,test,1
12491.json,train,1
9069.json,train,0
4846.json,train,0
4191.json,train,1
3480.json,train,0
219.json,train,0
9140.json,train,1
10279.json,train,1
4009.json,train,0
12281.json,train,1
11608.json,train,1
9681.json,test,1
10671.json,train,1
9194.json,train,1
649.json,train,0
12549.json,valid,1
7448.json,test,0
3082.json,train,1
265.json,train,1
5126.json,train,0
10644.json,train,1
12201.json,train,1
1767.json,train,1
10463.json,train,0
8551.json,train,1
9946.json,valid,1
200.json,train,0
11850.json,train,1
8901.json,test,0
472.json,train,0
11223.json,train,1
11221.json,train,0
3392.json,train,1
4194.json,test,0
11956.json,train,0
6919.json,test,1
8294.json,test,0
9796.json,train,1
9356.json,train,1
10098.json,train,0
6462.json,train,1
2028.json,train,0
6210.json,train,0
3248.json,train,0
11503.json,train,0
3331.json,test,1
8190.json,train,0
639.json,train,1
9609.json,train,0
10150.json,valid,1
3614.json,train,0
3823.json,train,1
4199.json,train,1
9059.json,train,1
7743.json,valid,1
3830.json,train,0
5443.json,train,1
11628.json,train,0
11321.json,train,1
12295.json,train,0
9214.json,train,1
1838.json,train,0
5798.json,train,1
1103.json,test,1
12166.json,train,1
1673.json,train,0
3596.json,train,0
2640.json,test,1
8888.json,train,1
2091.json,train,1
12793.json,train,1
1857.json,train,0
1461.json,valid,0
1481.json,train,1
2630.json,train,1
5875.json,train,0
8533.json,test,1
1532.json,train,0
9918.json,train,0
1454.json,train,0
5618.json,train,1
7760.json,train,1
10747.json,train,0
10500.json,train,1
13202.json,train,0
6259.json,train,1
1133.json,train,1
10523.json,train,1
3600.json,train,0
6294.json,train,0
7892.json,train,0
407.json,train,1
7110.json,train,1
6177.json,train,1
11575.json,train,0
11765.json,train,1
4080.json,train,0
1780.json,train,0
2103.json,train,0
3597.json,valid,1
8108.json,train,1
4405.json,train,0
5036.json,train,0
9707.json,train,0
9250.json,train,0
7578.json,train,0
11422.json,train,0
467.json,train,0
6781.json,valid,0
6024.json,train,1
2982.json,valid,1
9691.json,train,0
10171.json,train,0
9535.json,train,1
8586.json,valid,0
11505.json,train,1
11128.json,train,1
9432.json,test,0
13380.json,train,0
7481.json,train,0
13032.json,train,1
3949.json,train,1
10131.json,train,0
179.json,train,0
1286.json,valid,1
7945.json,train,0
13457.json,train,1
7454.json,train,0
8442.json,train,0
1510.json,train,0
10481.json,valid,0
1771.json,valid,0
2860.json,train,1
2356.json,test,0
1073.json,train,1
5234.json,train,0
13431.json,train,0
3470.json,train,0
2043.json,train,1
6978.json,train,1
12735.json,train,0
4394.json,train,1
13470.json,train,0
2698.json,train,0
5377.json,train,0
11296.json,test,1
3754.json,train,0
9276.json,train,1
11637.json,train,0
6872.json,train,1
12174.json,train,1
5447.json,train,0
3284.json,test,0
2079.json,train,1
6915.json,train,1
13519.json,train,1
974.json,train,0
6352.json,train,0
10412.json,train,0
2366.json,train,1
4794.json,train,0
9465.json,train,1
4649.json,train,0
6819.json,train,1
11431.json,train,1
13039.json,train,1
1733.json,train,0
3113.json,train,0
3775.json,train,0
11763.json,train,0
13151.json,train,1
2402.json,train,0
1389.json,train,1
8095.json,train,0
6506.json,train,1
7715.json,train,0
6011.json,test,0
11039.json,train,1
4398.json,train,0
2629.json,train,1
1380.json,valid,0
7224.json,train,1
5963.json,valid,1
461.json,train,0
10229.json,train,0
8871.json,train,0
10162.json,train,1
1586.json,train,0
9280.json,train,1
4686.json,train,1
3550.json,train,0
13338.json,train,1
903.json,train,1
6175.json,train,1
12313.json,train,0
47.json,train,1
464.json,valid,1
6223.json,valid,1
6340.json,train,1
2801.json,train,0
2648.json,train,0
8435.json,train,0
11768.json,valid,1
12332.json,train,0
12579.json,train,1
8847.json,valid,0
5989.json,train,0
2083.json,valid,1
2409.json,train,1
5075.json,train,0
3438.json,train,0
5422.json,train,0
2346.json,train,0
2834.json,train,1
12524.json,train,0
2620.json,train,1
551.json,train,0
7810.json,test,0
3479.json,train,1
12940.json,train,0
10935.json,test,0
4737.json,train,0
4569.json,train,1
1170.json,train,1
12395.json,train,0
8401.json,train,0
6106.json,train,0
10906.json,test,1
2169.json,valid,0
668.json,train,1
4717.json,train,0
6218.json,valid,1
8620.json,train,1
940.json,train,1
1752.json,train,1
8118.json,train,0
8970.json,train,1
5251.json,test,0
13325.json,train,0
3200.json,train,0
10050.json,train,1
4208.json,test,1
7305.json,train,0
12444.json,train,1
6582.json,train,0
9015.json,valid,0
756.json,train,0
7724.json,valid,1
8816.json,train,0
8725.json,train,0
4562.json,train,1
10782.json,train,1
13475.json,train,1
12361.json,train,0
3122.json,train,0
3679.json,test,1
1626.json,train,1
13122.json,train,0
2680.json,valid,1
12001.json,train,1
6173.json,train,0
8797.json,train,0
13454.json,valid,1
7199.json,train,0
5224.json,train,0
9855.json,train,1
5822.json,train,1
7979.json,train,0
11169.json,test,0
9022.json,train,0
3249.json,valid,0
6409.json,train,1
5991.json,train,0
7912.json,train,0
11043.json,train,0
5923.json,train,0
1412.json,train,1
10673.json,train,0
2713.json,train,1
12862.json,train,1
7309.json,train,0
6245.json,train,1
9397.json,train,0
11515.json,train,1
9457.json,train,0
4992.json,train,0
12039.json,train,1
3432.json,train,1
5757.json,train,0
9942.json,test,0
11183.json,train,1
5299.json,train,1
11864.json,valid,1
9125.json,train,0
2558.json,train,0
600.json,train,0
4848.json,train,0
6270.json,train,0
6525.json,train,1
11490.json,train,1
444.json,train,0
7978.json,train,1
9421.json,train,1
4181.json,train,0
8078.json,train,1
5147.json,train,0
7445.json,train,0
3972.json,train,0
6298.json,valid,1
12570.json,train,1
2790.json,train,0
11504.json,train,1
6348.json,train,1
3811.json,test,1
7513.json,train,0
12370.json,valid,0
10813.json,train,1
2745.json,train,1
10893.json,test,0
2670.json,train,0
1892.json,test,0
9005.json,train,1
10256.json,train,0
10525.json,train,1
1009.json,train,0
6906.json,valid,1
12398.json,test,1
5473.json,train,0
4054.json,train,1
12484.json,train,0
6966.json,train,0
4313.json,valid,1
9500.json,train,0
3920.json,train,0
5691.json,train,1
9263.json,train,0
1977.json,train,0
2587.json,train,1
2034.json,valid,1
230.json,test,0
1187.json,test,0
12229.json,train,1
12169.json,test,0
93.json,train,0
9991.json,train,1
2416.json,train,1
2318.json,train,0
12706.json,train,1
11898.json,valid,0
165.json,train,0
5155.json,train,1
6874.json,train,1
8380.json,train,0
1339.json,train,1
9400.json,train,0
12385.json,train,0
8938.json,train,0
9091.json,test,1
381.json,train,1
13262.json,train,1
11256.json,test,0
4658.json,train,1
5540.json,train,0
6949.json,train,0
13067.json,train,1
11233.json,train,1
3677.json,train,0
10885.json,train,0
11849.json,train,1
10387.json,train,1
8163.json,valid,0
6429.json,train,1
5420.json,train,0
11131.json,train,0
3415.json,train,0
8704.json,train,0
9563.json,train,0
8921.json,valid,0
5405.json,train,0
6455.json,test,0
2944.json,train,1
5942.json,valid,1
401.json,valid,0
3892.json,train,0
4572.json,train,1
6260.json,train,1
9485.json,train,1
5715.json,train,1
6932.json,train,0
1665.json,train,0
8771.json,train,0
5552.json,train,0
4204.json,test,1
8715.json,train,0
3891.json,train,0
4901.json,test,1
12104.json,train,0
11362.json,train,0
7341.json,valid,0
2365.json,train,1
10368.json,train,1
11020.json,train,1
6504.json,train,1
1423.json,train,1
8238.json,train,1
26.json,train,0
2890.json,train,0
3838.json,train,1
9249.json,train,1
4308.json,train,0
11969.json,train,1
8848.json,train,1
499.json,train,0
3297.json,train,1
2730.json,train,1
11917.json,test,0
6427.json,valid,0
4072.json,train,0
1158.json,test,1
12073.json,train,0
10045.json,train,1
8250.json,train,1
155.json,train,1
13273.json,train,1
13289.json,train,1
12945.json,train,0
4603.json,train,1
6450.json,train,1
12373.json,train,0
7738.json,valid,1
5598.json,train,1
1971.json,test,1
11269.json,test,1
2946.json,train,1
13384.json,train,1
11479.json,train,1
7997.json,train,1
11895.json,test,1
7969.json,valid,1
5157.json,train,1
10172.json,train,1
300.json,train,0
9884.json,train,0
8416.json,train,0
12993.json,train,0
3335.json,train,0
2631.json,train,1
3244.json,valid,1
12470.json,train,1
8028.json,train,0
3628.json,train,1
6954.json,train,1
11182.json,train,0
12091.json,train,0
13509.json,train,1
2960.json,train,1
13018.json,train,1
1854.json,train,1
11624.json,train,0
4094.json,train,1
9135.json,train,1
10642.json,valid,1
11466.json,train,1
1444.json,test,0
7127.json,train,0
10097.json,test,1
3271.json,train,1
13030.json,train,1
13239.json,train,1
5114.json,train,1
2323.json,train,1
1050.json,train,1
659.json,valid,0
679.json,train,0
7324.json,train,1
10066.json,train,1
197.json,train,1
9431.json,test,1
7286.json,train,0
3622.json,train,0
12427.json,test,0
5453.json,train,0
1694.json,train,0
3510.json,train,0
12439.json,train,0
959.json,train,0
11983.json,train,1
13376.json,train,0
3142.json,train,1
4449.json,train,1
8983.json,train,0
6607.json,train,0
7990.json,train,1
8692.json,train,1
1212.json,valid,0
13034.json,train,1
6406.json,train,1
10447.json,train,1
11421.json,train,0
7106.json,train,0
8291.json,valid,1
11522.json,train,1
4995.json,test,0
6033.json,test,0
8135.json,train,0
901.json,test,1
13479.json,train,0
12184.json,train,0
12114.json,train,0
3183.json,train,1
7076.json,train,1
4592.json,train,1
7483.json,train,0
1381.json,train,0
5043.json,train,1
8757.json,valid,1
9462.json,test,0
10139.json,train,0
4159.json,train,1
3717.json,train,1
9717.json,train,1
11041.json,train,0
4593.json,test,1
775.json,train,1
10892.json,train,1
4712.json,train,0
7366.json,train,1
13020.json,test,0
4581.json,train,1
8855.json,test,0
9045.json,train,1
12070.json,train,0
5844.json,train,1
11686.json,train,1
11919.json,train,0
2408.json,train,1
10296.json,train,1
13021.json,train,1
339.json,test,0
12488.json,train,1
13412.json,train,0
118.json,train,0
3108.json,train,0
13527.json,test,1
3859.json,train,1
7426.json,test,1
11414.json,valid,0
5322.json,train,1
12976.json,test,1
8432.json,train,1
13205.json,train,0
4317.json,train,1
614.json,train,1
13275.json,train,1
7934.json,train,0
9935.json,train,1
10758.json,train,1
11469.json,valid,1
9014.json,train,1
10660.json,train,1
2980.json,train,0
6519.json,train,0
7169.json,train,1
8109.json,train,0
8174.json,train,1
9153.json,train,0
7638.json,train,0
1507.json,train,1
9399.json,train,0
5873.json,train,0
6227.json,train,0
7672.json,train,1
1875.json,train,1
11260.json,valid,1
12474.json,train,0
12307.json,train,0
10550.json,train,0
9038.json,train,0
10301.json,valid,1
11409.json,test,1
4203.json,train,0
8787.json,train,0
6854.json,train,1
12194.json,train,0
1375.json,train,0
1477.json,test,1
2047.json,train,0
8323.json,valid,0
5738.json,train,1
4941.json,train,0
249.json,train,0
10237.json,train,0
498.json,train,0
13435.json,train,0
3722.json,train,1
12870.json,test,1
4573.json,valid,0
4416.json,train,0
13420.json,test,0
7079.json,train,0
7330.json,train,1
9711.json,train,1
2249.json,train,1
4807.json,train,0
7764.json,train,0
7922.json,train,0
2220.json,train,1
8221.json,train,0
6581.json,train,1
7947.json,valid,0
11363.json,train,1
4214.json,train,0
11372.json,train,0
3631.json,test,1
6722.json,train,0
13081.json,train,1
10126.json,valid,1
3578.json,train,1
5438.json,train,1
12436.json,train,0
6587.json,train,1
4915.json,train,1
2528.json,train,1
6273.json,train,0
10225.json,train,1
4631.json,train,1
9385.json,train,0
100.json,train,0
11162.json,train,1
5367.json,valid,0
12588.json,train,0
12030.json,train,0
9760.json,train,1
9648.json,train,0
3581.json,train,0
9679.json,train,1
6800.json,train,1
372.json,train,0
6145.json,train,1
9724.json,train,1
7601.json,valid,0
10025.json,train,1
12402.json,valid,0
3454.json,train,0
6237.json,train,1
365.json,train,1
12755.json,train,0
642.json,train,0
2767.json,train,1
6638.json,train,0
632.json,train,1
12480.json,train,0
8308.json,train,1
9413.json,train,0
6677.json,train,0
3832.json,train,0
10807.json,train,1
8.json,train,1
12892.json,train,1
11500.json,train,1
5112.json,train,0
8317.json,train,0
9562.json,train,0
11306.json,train,0
13086.json,train,1
11788.json,train,0
2230.json,train,0
12099.json,train,0
13395.json,train,0
9596.json,train,1
3917.json,train,0
10276.json,train,0
6734.json,train,1
12919.json,train,0
6702.json,train,1
1901.json,train,1
6152.json,train,0
1779.json,train,0
9297.json,train,1
1801.json,train,0
4270.json,train,1
12821.json,train,0
6673.json,train,1
12053.json,train,1
3528.json,train,0
11099.json,train,1
1093.json,test,1
3026.json,train,1
10179.json,train,1
11346.json,train,0
6733.json,train,1
7471.json,train,1
3126.json,train,0
8443.json,train,0
2369.json,train,0
345.json,train,1
3153.json,valid,1
590.json,train,1
5066.json,train,1
13173.json,train,0
10882.json,train,0
11378.json,train,0
3147.json,valid,0
13411.json,train,1
2460.json,test,1
12137.json,train,1
1497.json,test,1
651.json,train,0
9773.json,train,1
4750.json,test,1
5089.json,train,1
1915.json,test,1
10476.json,train,0
6435.json,train,0
5921.json,train,1
466.json,train,0
5458.json,train,0
11394.json,train,0
10979.json,train,0
4423.json,train,0
7474.json,train,0
7005.json,train,0
6584.json,train,1
559.json,train,1
11030.json,train,0
10616.json,train,1
13184.json,test,0
9105.json,train,0
633.json,valid,1
11638.json,train,1
3456.json,train,1
682.json,train,1
1604.json,train,1
4016.json,test,1
2793.json,test,0
12748.json,train,0
13385.json,test,0
196.json,train,0
7758.json,test,0
3458.json,test,1
6866.json,train,1
1658.json,train,0
10416.json,test,0
1243.json,test,1
4202.json,train,1
1434.json,train,0
13337.json,train,1
10073.json,valid,1
6743.json,test,1
2613.json,valid,0
12556.json,train,0
7699.json,valid,1
12406.json,train,1
4616.json,train,1
10857.json,train,1
3820.json,train,1
8199.json,train,1
1613.json,train,1
9575.json,train,1
12059.json,train,0
4690.json,train,1
9561.json,train,1
7693.json,train,0
971.json,valid,0
12860.json,valid,1
10056.json,train,0
3934.json,train,0
7520.json,valid,0
7698.json,test,0
4393.json,train,0
12394.json,valid,0
7099.json,train,1
6267.json,train,0
1077.json,train,1
12655.json,train,1
7939.json,valid,1
1799.json,train,1
5829.json,train,0
12648.json,test,1
11342.json,train,0
12637.json,valid,1
4013.json,train,1
2600.json,test,0
6093.json,train,1
9630.json,train,0
8687.json,train,0
6319.json,valid,0
3849.json,train,0
6761.json,train,0
12947.json,train,1
10305.json,train,1
7940.json,train,0
4730.json,train,0
811.json,train,1
11214.json,train,0
2512.json,train,1
6846.json,train,0
11488.json,train,1
10364.json,train,1
12820.json,train,0
7466.json,train,1
10919.json,train,0
11139.json,test,0
5944.json,train,1
13292.json,train,1
12754.json,train,1
1674.json,train,1
8736.json,train,1
11460.json,train,1
8494.json,train,1
2527.json,train,0
814.json,test,0
2709.json,train,1
10159.json,valid,1
6056.json,train,0
11705.json,train,1
4666.json,valid,1
12900.json,train,1
1378.json,train,1
4858.json,valid,0
7149.json,train,0
11395.json,train,0
10913.json,train,0
12552.json,train,0
7213.json,train,0
751.json,train,0
636.json,test,0
129.json,train,0
2665.json,train,0
5828.json,train,1
4864.json,train,1
8426.json,train,1
8628.json,train,1
7150.json,train,0
8209.json,train,0
3252.json,train,0
2191.json,train,1
5714.json,train,1
1402.json,train,0
5832.json,train,1
12368.json,test,1
12927.json,test,0
9860.json,train,0
6230.json,train,1
10340.json,test,0
4574.json,train,1
9924.json,train,1
8479.json,train,1
2500.json,train,0
655.json,valid,0
6586.json,train,1
267.json,test,0
10093.json,train,1
10031.json,train,0
8425.json,train,0
10898.json,test,1
9451.json,train,0
1285.json,valid,1
667.json,train,0
10961.json,train,1
9856.json,valid,1
11010.json,train,0
9961.json,train,0
9493.json,train,0
13371.json,train,1
12457.json,train,1
3609.json,train,0
980.json,train,1
1110.json,train,0
13042.json,train,1
1792.json,train,0
6392.json,train,0
10009.json,train,1
6821.json,test,1
10108.json,train,1
9769.json,train,0
7561.json,train,1
4694.json,train,1
11011.json,train,0
8674.json,train,0
9753.json,train,0
1045.json,train,1
8803.json,train,0
1306.json,train,1
11556.json,train,1
4675.json,train,1
12223.json,train,0
12998.json,train,0
10239.json,train,1
7142.json,train,0
5620.json,train,0
2632.json,train,1
8379.json,train,1
98.json,train,0
3103.json,test,0
10096.json,train,1
2020.json,train,0
10303.json,train,0
12323.json,train,1
702.json,train,0
7453.json,train,0
1718.json,train,0
10656.json,train,0
3067.json,train,0
2296.json,train,0
12288.json,train,0
1271.json,valid,0
7255.json,train,1
2420.json,train,1
13095.json,train,1
4525.json,train,1
10291.json,train,1
3931.json,test,1
8722.json,train,0
2299.json,train,0
7322.json,train,0
7665.json,test,0
5550.json,train,0
4275.json,train,0
1333.json,test,0
10542.json,train,0
6219.json,train,1
2522.json,train,1
12553.json,train,0
713.json,valid,1
12644.json,train,0
8455.json,train,1
5693.json,test,1
12495.json,train,0
1941.json,train,1
4860.json,train,0
9237.json,train,0
2645.json,valid,0
5433.json,train,1
12309.json,test,1
9867.json,train,0
8944.json,test,0
7719.json,train,1
2298.json,valid,0
8297.json,train,1
2075.json,train,1
3529.json,train,0
3351.json,train,1
13023.json,valid,0
2481.json,train,1
2928.json,train,0
10921.json,train,0
3219.json,train,1
10095.json,train,1
4224.json,train,1
7392.json,valid,1
13434.json,train,0
1666.json,train,0
1276.json,train,1
3405.json,train,1
4467.json,train,1
8037.json,train,1
12122.json,test,0
9149.json,train,1
8805.json,train,0
5632.json,train,0
3667.json,train,0
7908.json,valid,0
1538.json,train,1
3051.json,train,0
6647.json,train,1
11883.json,valid,1
4919.json,train,1
9829.json,train,0
3217.json,train,0
1351.json,train,1
10168.json,train,1
8407.json,train,1
3452.json,train,0
5423.json,train,0
5454.json,train,0
7540.json,train,0
964.json,train,0
7189.json,train,0
7020.json,train,1
7510.json,valid,1
1950.json,test,1
4478.json,train,1
7368.json,train,0
11826.json,train,0
10868.json,train,1
11212.json,test,0
8162.json,test,0
2681.json,train,0
1946.json,train,0
2283.json,train,1
6555.json,test,0
7716.json,train,0
1182.json,train,1
12691.json,train,0
2656.json,valid,0
6283.json,train,1
9103.json,train,0
12129.json,train,1
9915.json,train,0
5703.json,train,1
11429.json,train,1
1924.json,train,0
745.json,valid,1
7325.json,train,1
2342.json,train,1
10596.json,train,1
4119.json,test,0
7114.json,train,1
9695.json,train,1
9840.json,train,0
5528.json,test,0
11261.json,test,0
11920.json,train,0
1969.json,train,1
8222.json,train,1
12593.json,train,0
10967.json,train,1
11740.json,train,1
8434.json,test,1
3695.json,train,1
4770.json,test,1
4939.json,train,0
6770.json,train,1
4465.json,train,1
2423.json,train,1
6704.json,train,0
4167.json,train,0
12539.json,train,0
2382.json,train,0
12647.json,valid,0
5312.json,train,1
9888.json,train,1
8608.json,train,1
2061.json,train,1
599.json,train,0
8779.json,train,1
9536.json,train,0
8362.json,train,0
6067.json,train,1
9955.json,train,1
5014.json,train,0
10819.json,train,0
6907.json,train,0
1654.json,train,0
5168.json,train,1
136.json,train,0
7248.json,train,0
7726.json,test,1
10649.json,train,1
5120.json,train,1
5553.json,train,0
4912.json,train,0
2594.json,test,0
5804.json,train,1
9673.json,train,1
2418.json,train,1
9110.json,train,1
6306.json,train,1
3216.json,train,1
2452.json,train,1
9169.json,train,0
5439.json,train,0
13244.json,valid,0
4785.json,train,0
7502.json,train,1
6229.json,train,1
11964.json,train,1
3322.json,train,1
4455.json,train,1
7459.json,train,0
7591.json,train,1
2204.json,train,0
206.json,train,0
9159.json,train,0
3328.json,train,0
5463.json,valid,1
1951.json,train,0
9787.json,valid,0
986.json,train,0
747.json,train,0
7320.json,train,0
9626.json,train,0
7382.json,train,1
3186.json,test,1
7639.json,train,0
10462.json,train,1
4236.json,train,1
2259.json,train,0
2889.json,train,1
5498.json,train,1
9828.json,train,1
13375.json,valid,1
1179.json,train,1
11858.json,train,0
5641.json,train,1
4625.json,train,1
7387.json,test,1
12342.json,train,0
12461.json,test,0
3435.json,train,0
3730.json,train,1
12723.json,train,1
5760.json,train,0
321.json,train,0
2317.json,train,1
13182.json,train,1
5731.json,train,1
4024.json,train,0
5148.json,train,1
11894.json,train,1
9285.json,test,1
4469.json,train,1
8202.json,train,1
7551.json,train,0
4128.json,train,1
7260.json,train,0
4268.json,train,0
6831.json,train,0
4029.json,valid,0
2284.json,test,1
10003.json,train,1
6796.json,train,1
9749.json,train,0
3771.json,train,1
3357.json,train,0
2168.json,train,0
11209.json,train,0
4153.json,train,0
4366.json,train,1
3618.json,train,1
3353.json,train,0
5492.json,train,1
2374.json,test,1
474.json,test,1
2563.json,train,1
4739.json,train,1
3209.json,train,0
5609.json,train,1
9151.json,test,0
283.json,train,0
11916.json,train,0
6277.json,train,0
1776.json,train,1
12096.json,train,1
3020.json,train,1
4793.json,train,1
12475.json,train,1
11651.json,train,1
351.json,train,0
2986.json,test,0
906.json,train,0
11467.json,train,1
7630.json,train,0
951.json,train,0
12989.json,train,1
5605.json,train,0
2336.json,train,1
9396.json,train,1
9373.json,train,1
3657.json,train,0
2520.json,valid,1
9192.json,test,0
7264.json,valid,0
8433.json,test,0
1822.json,train,0
12729.json,train,1
10342.json,train,0
8838.json,train,0
183.json,train,1
6336.json,train,0
13466.json,train,0
10401.json,train,1
1132.json,train,1
12159.json,valid,1
8131.json,train,0
5262.json,train,1
4513.json,test,0
11586.json,train,0
12855.json,test,0
4651.json,train,0
5074.json,test,0
7794.json,train,0
3713.json,train,0
8265.json,train,1
12292.json,train,1
5013.json,train,0
10909.json,train,0
3621.json,train,1
10295.json,train,0
12337.json,train,1
9763.json,valid,0
9175.json,train,0
12264.json,train,1
8496.json,train,0
12132.json,valid,0
13390.json,train,0
11570.json,train,1
3506.json,train,1
