id,label,statement,subject,speaker,job_title,state_info,party,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context,split,label_clean
4000.json,barely-true,A substantial number of probationers participating in a pilot project to ease the farm labor shortage are able to finish the work.,immigration,nathan-deal,,,republican,9,5,11,11,0,a radio interview,train,barely-true
195.json,true,"The truth of the matter is that during my administration, the FBI's crime statistics show that violent crime was reduced in Massachusetts by 7 percent.",crime,mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,an interview,train,true
12823.json,mostly-true,Says Donald Trump claimed our armed forces are a disaster.,"foreign-policy,military",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a speech at the Democratic convention,train,mostly-true
7890.json,false,Says less than half of 1 percent of all the Texas legislators who ever served draw a benefit from pensions tied to the salaries of state district judges.,pensions,doug-miller,Businessman,Texas,republican,0,1,0,0,0,a Texas House floor debate.,train,false
6481.json,pants-fire,"Says Reps. Rush Holt, Frank Pallone and Bill Pascrell are willing to jeopardize seniors access to coverage by gutting $741 billion from Medicare to pay for a big-government healthcare takeover.","health-care,medicare",national-republican-congressional-committee,,,republican,18,9,8,5,8,a news release,train,pants-fire
13402.json,barely-true,"Says Russ Feingold voted to raise taxes on Social Security benefits for seniors, he even tried to give Social Security benefits to illegal immigrants.","federal-budget,immigration,income,social-security,taxes",ron-johnson,,Wisconsin,republican,14,6,10,10,1,a radio ad,valid,barely-true
10209.json,true,"Congress has 11 percent approval ratings, yet 96.4 percent of incumbent lawmakers were re-elected in 2014.",congress,facebook-posts,Social media posting,,none,14,18,15,11,36,a meme on social media,train,true
1723.json,barely-true,Everyone in this country has access to health care.,health-care,rick-perry,Governor,Texas,republican,30,30,42,23,18,an interview with The Texas Tribune and Newsweek,train,barely-true
12979.json,false,"As governor, Tim Kaine oversaw a huge increase in illegal immigration, a tremendous increase.",immigration,donald-trump,President-Elect,New York,republican,63,114,51,37,61,a rally,train,false
6355.json,pants-fire,Says his patents in ultrasound have revolutionized modern medicine.,health-care,george-flinn,Radiologist and radio station owner,Tennessee,republican,0,1,0,0,1,in a campaign TV commercial.,train,pants-fire
10676.json,false,Not a single unarmed white person has been shot by the police in New York in about 45 years.,"crime,public-safety",fran-lebowitz,Writer,New York,democrat,0,1,0,0,0,"a panel on ""Real Time with Bill Maher""",train,false
9083.json,barely-true,"In Virginias Medicaid program, approximately 30 percent, or $2.7 billion a year, is lost to waste, fraud and inefficiencies.","health-care,medicaid",jimmy-massie,State delegate,Virginia,republican,1,0,0,0,0,a Facebook post.,train,barely-true
4719.json,half-true,Proposition 2 on Novembers Texas ballot does not cost state taxpayers any money.,"elections,water",H204TEXAS-PAC,,,none,0,0,1,0,0,an email blast.,test,half-true
13069.json,mostly-true,If Texas were a country our economy would rank # 10...in the WORLD.,"corrections-and-updates,economy,states",greg-abbott,governor,Texas,republican,11,3,8,6,5,a tweet,train,mostly-true
1738.json,mostly-true,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""","immigration,legal-issues",alfredo-gutierrez,Former state Senator,Arizona,democrat,0,0,0,1,0,an interview on MSNBC's Hardball,train,mostly-true
4699.json,half-true,"We are the poster child for compliance, and whenever we discover possible infractions we resolve and report it to the NCAA no matter how minor the violations.",sports,e-gordon-gee,Ohio State University president,Ohio,none,0,0,1,0,0,a comment to a reporter,train,half-true
3996.json,barely-true,Hispanic unemployment has been ticking down from an all-time high of 13.9 percent because of the policies weve implemented.,"economy,jobs,stimulus",harry-reid,Senate Democratic Leader,Nevada,democrat,4,5,3,7,3,"an online chat with the ""Washington Post""",train,barely-true
6823.json,false,"Says U.S. Senate opponent Tammy Baldwin supported a federal budget that spent trillions -- not billions, trillions -- more money than the Obama budget.","deficit,federal-budget,taxes",tommy-thompson,,Wisconsin,republican,6,8,2,5,3,an interview,train,false
11619.json,half-true,"29 mass shootings have been committed by concealed carriers since 2007, while during this period only one (1) licensed civilian meaningfully intervened in a mass shooting.",guns,gun-free-ut-gun-free-ut,,Texas,none,0,0,1,0,0,web site blog post,train,half-true
1695.json,mostly-true,Americans now spend 100 days out of the year working for government before we even start working for ourselves.,taxes,sarah-palin,,Alaska,republican,9,19,9,6,6,a speech at a Tea Party rally in Boston,train,mostly-true
10881.json,mostly-true,Says Gov. Scott Walkers proposed state budget contained 110 pages of errors -- an unusually high number -- and millions of dollars worth of mistakes that were corrected with a follow-up document.,state-budget,chris-taylor,,,democrat,1,0,0,1,0,a press release,test,mostly-true
12766.json,false,An analysis showed that Bernie Sanders would have won the Democratic nomination if it were not for the Super Delegates.,elections,donald-trump,President-Elect,New York,republican,63,114,51,37,61,a tweet,valid,false
3855.json,pants-fire,"A few months into office, (President Barack Obama) traveled around the globe to apologize for America.",foreign-policy,mitt-romney,Former governor,Massachusetts,republican,34,32,58,33,19,a speech announcing his presidential campaign,train,pants-fire
5065.json,barely-true,Says Milwaukee County buses are no less safe now than a year or two ago.,"crime,transportation",chris-abele,Philanthropist,Wisconsin,none,3,5,4,4,2,a television interview,train,barely-true
619.json,false,"Obama plans ""a tax increase for everyone earning more than $42,000 a year.""",taxes,john-mccain,U.S. senator,Arizona,republican,31,39,31,37,8,an Internet ad,train,false
6258.json,barely-true,"Bill OBriens Tea Party legislature tried to repeal kindergarten and compulsory education, defund Planned Parenthood and eliminate insurance coverage for birth control.","abortion,education,health-care",new-hampshire-democratic-party,,New Hampshire,democrat,4,0,3,3,0,a Web advertisement titled “College vs. Smokes.”,train,barely-true
5287.json,half-true,Says Pennsylvania charges a top income tax rate of 3 percent and Delaware has no state income tax at all.,taxes,joe-pennacchio,State Senator,New Jersey,republican,0,0,1,0,0,a news release,valid,half-true
7604.json,mostly-true,"Paul Ryans budget keeps the Obamacare taxes and spending cuts that paid for Obamacare, but then cuts all of the benefits.","congress,federal-budget,health-care,taxes",bobby-scott,U.S. Congressman,Virginia,democrat,1,2,1,5,0,a radio interview.,train,mostly-true
7294.json,pants-fire,We just had someone last week in Neenah near a school kill someone with a bow and arrow.,guns,scott-walker,Milwaukee County Executive,Wisconsin,republican,26,41,32,40,11,a news conference,train,pants-fire
5329.json,true,A bill delaying the start of classes until Labor Day would permit school districts to shave 5 full weeks off the school year.,"education,tourism",marc-schare,Member of the Worthington Board of Education,Ohio,none,0,0,0,0,0,an Ohio House committee hearing ,train,true
8010.json,half-true,"Texas ranks: #1 in worker deaths, #1 carbon emissions, #50 in high school graduates, #50 in funding for mental health patients.","climate-change,education,energy,environment,health-care,states,workers",facebook-posts,Social media posting,,none,14,18,15,11,36,a fake Rick Perry 2016 poster.,valid,half-true
3617.json,half-true,"General Electric hasnt really created any jobs in this country, doesnt pay any taxes, and theyre making historic profits.","corporations,deficit,federal-budget,taxes",marcy-kaptur,Representative from Ohio's Ninth Congressional District,Ohio,democrat,0,2,4,4,0,a radio interview,train,half-true
2502.json,pants-fire,"Rick Perry thinks injecting 11- and 12-year-old girls with a controversial drug (the HPV vaccine), without a parents consent, is a good idea.","children,message-machine",lone-star-first,,Texas,none,0,0,0,0,1,a TV ad,train,pants-fire
10876.json,barely-true,Says Hillary Clinton makes more per hour at a speaking gig than the average CEO does in a year.,"income,wealth,workers",glenn-beck,,,none,5,7,7,2,6,a segment on his radio show,train,barely-true
10733.json,false,Says all my grandparents immigrated to America.,"candidates-biography,immigration",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a roundtable chat in Iowa,train,false
9413.json,true,Four (maybe five) Latinos have served on the Austin City Council.,"city-government,history",mike-martinez,"Member, Austin City Council",Texas,democrat,1,0,1,1,1,remarks at a gathering,train,true
9246.json,mostly-true,"Ed Gillespies 2006 book promoted an individual health care mandate, and recommends that it be enforced by the IRS through the income tax code.","medicaid,taxes",democratic-party-virginia,,Virginia,democrat,2,1,1,3,0,news release.,train,mostly-true
12932.json,barely-true,"Says military commanders have said that if Donald Trump were elected, they would not follow his orders.","legal-issues,military",joe-biden,U.S. senator,Delaware,democrat,11,10,21,16,4,"a speech in Scranton, Pa.",train,barely-true
4639.json,false,Foster children are disproportionately victims of identity theft.,"children,consumer-safety,crime,families,financial-regulation",james-langevin,Congressman,Rhode Island,democrat,1,1,2,1,0,a speech,valid,false
12452.json,mostly-true,I believe we should have tax on carbon and deal aggressively with climate change. That is not (Hillary Clintons)position.,"cap-and-trade,climate-change,energy,environment",bernie-s,U.S. Senator,Vermont,independent,18,12,22,41,0,"an interview on ""Meet the Press""",train,mostly-true
11678.json,barely-true,"In 2000, I wrote about Osama bin Laden, Weve got to take him out.",terrorism,donald-trump,President-Elect,New York,republican,63,114,51,37,61,a speech.,valid,barely-true
4897.json,false,Says Wisconsin Gov. Scott Walker is making voting more difficult by closing Department of Motor Vehicles offices where low-income voters live.,"elections,poverty",chris-bowers,,,none,0,1,0,0,0,an interview,train,false
8318.json,true,There are still tens of thousands of missing service members from previous and current conflicts that our nation is working to find and repatriate.,"afghanistan,families,government-efficiency,homeland-security,iraq,military,veterans",john-scocos,,,state-official,0,0,0,0,0,a statement,train,true
2755.json,half-true,"(John) Kasich was the architect who balanced the budget, cut spending, created a surplus, igniting record job creation.","economy,federal-budget,job-accomplishments,message-machine",john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9,8,10,18,3,a campaign video,valid,half-true
9421.json,pants-fire,Ken Block supports Obamacare.,"economy,health-care,message-machine-2014",allan-fung,"mayor, city of Cranston, R.I.",Rhode Island,republican,2,2,0,2,1,a TV commercial,train,pants-fire
9245.json,false,"Ryan Sittons company accepted over $650,000 in Obama stimulus dollars.","candidates-biography,small-business,stimulus",young-conservatives-texas,Political group,Texas,republican,0,1,0,0,0,a press release,train,false
6845.json,pants-fire,Less than 10 percent of President Barack Obamas Cabinet members have private-sector experience.,message-machine-2012,chain-email,,,none,11,43,8,5,105,an email,train,pants-fire
11906.json,mostly-true,Says state Supreme Court candidate Joe Donald twice supported incumbent Justice Rebecca Bradley.,"candidates-biography,criminal-justice,elections,legal-issues,campaign-advertising",joanne-kloppenburg,State Appeals Court judge,Wisconsin,none,2,1,0,2,1,a TV ad,train,mostly-true
13443.json,true,"Under Donald Trumps tax plan, 51 percent of single parents would see their taxes go up.",taxes,hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a campaign rally,train,true
4825.json,half-true,House Republicans are ramming through legislation ... to classify pizza as a vegetable for the purpose of school lunches.,"education,public-health",democratic-national-committee,,,none,8,2,10,8,0,an e-mail message,test,half-true
3462.json,true,The entire state of Florida led the nation last year with the most prison inmates committing tax fraud.,"corrections-and-updates,crime,taxes",bill-nelson,,Florida,democrat,3,1,8,10,0,a letter to IRS Commissioner Douglas Shulman,train,true
1871.json,pants-fire,"My opponent in November of 2008 sent a missive to the White House, to President Obama-elect, and said, Heres how you need to sell cap-and-trade to the American people.","cap-and-trade,climate-change",rick-perry,Governor,Texas,republican,30,30,42,23,18,a speech,train,pants-fire
1795.json,mostly-true,"I got a letter from 20 people who said they wanted their money back, 14 never gave me a penny.",campaign-finance,charlie-crist,,Florida,democrat,15,9,20,19,2,a meeting with the St. Petersburg Times editorial board.,train,mostly-true
5952.json,half-true,Says Democratic recall opponent Mahlon Mitchell sent a letter encouraging folks to boycott more than 100 companies.,"corporations,labor,unions,workers",rebecca-kleefisch,Candidate for lieutenant governor,Wisconsin,republican,1,3,4,0,1,an interview,train,half-true
9052.json,mostly-true,Dan Patrick called for increasing the gas tax and the state sales tax.,"state-budget,state-finances,taxes",david-dewhurst,Lieutenant governor,Texas,republican,8,8,10,5,5,,test,mostly-true
13151.json,pants-fire,Say photographs of Hillary Clinton at the debate show what could be an earpiece.,candidates-biography,blog-posting,,,none,7,19,3,5,44,Internet posts,train,pants-fire
7420.json,mostly-true,Federal spending on entitlements is projected to consume all revenue by 2045.,"federal-budget,health-care,medicaid,medicare,social-security",josh-mandel,Ohio treasurer,Ohio,republican,4,5,4,5,6,a letter to Ohio lawmakers,test,mostly-true
10518.json,barely-true,Says Supreme Court Justice Sonia Sotomayor has animmigrant family background.,"corrections-and-updates,immigration",laura-ingraham,Political commentator and radio talk show host,,none,2,5,1,0,1,"a broadcast of the ""Laura Ingraham Show""",train,barely-true
10381.json,mostly-true,The average family not in the top 10 percent makes less money today than they were making a generation ago.,"economy,income,jobs,labor",elizabeth-warren,U.S. senator,Massachusetts ,democrat,0,0,3,3,0,a speech at the AFL-CIO National Summit on Raising Wages,train,mostly-true
8589.json,false,On changing the rules for filibusters on presidential nominees,congressional-rules,barack-obama,President,Illinois,democrat,70,71,160,163,9,speeches,train,false
2489.json,mostly-true,"When Tallahassee politicians and bureaucrats tried to run our schools, Ive stood up to them to protect local control.","children,education,florida,message-machine",alex-sink,,Florida,democrat,1,2,2,4,0,a TV ad,train,mostly-true
4020.json,false,Only the State of New York spends more money on Medicaid than the State of New Jersey.,"health-care,state-budget",chris-christie,Governor of New Jersey,New Jersey,republican,10,17,27,19,8,a television interview on On the Line,train,false
10212.json,half-true,"Says Obamas net neutrality proposalputs the government in charge of determining Internet pricing, terms of service and what types of products and services can be delivered.","government-regulation,technology",ted-cruz,Senator,Texas,republican,36,33,15,19,8,a Facebook post,train,half-true
6307.json,half-true,On suspending system development charges for two years.,taxes,charlie-hales,"Senior vice president, HDR Engineering",Oregon,none,1,1,0,0,0,a newspaper article,train,half-true
10000.json,half-true,"Dan Patrick said that if women get paid less than a man for the same job, that thats not a problem.","jobs,women",leticia-van-de-putte,Pharmacist,Texas,democrat,2,2,4,1,1,a debate in Austin,train,half-true
3169.json,mostly-true,All the money the Department of Citrus has is paid for by the citrus growers. You dont save dollars by eliminating the Department of Citrus.,"agriculture,state-budget",adam-putnam,Florida Commissioner of Agriculture,Florida,republican,0,1,1,2,1,a meeting with reporters and editors,train,mostly-true
1716.json,false,''I have received more contributions than any other candidate in the race Republican or Democrat.'',elections,dan-gelber,,Florida,democrat,2,2,1,3,0,e-mail to supporters and media,train,false
11802.json,mostly-true,Says his views on reparations for slavery are the same as Barack Obamas and Hillary Clintons.,"diversity,income,poverty",bernie-s,U.S. Senator,Vermont,independent,18,12,22,41,0,"comments on ""Meet the Press.""",test,mostly-true
11059.json,false,We dont have a (military) reserve force if something happens.,"immigration,military",joe-theismann,,Virginia,none,0,1,0,0,0,"a discussion on ""Outnumbered""",train,false
908.json,mostly-true,"Energy nominee Steven Chu has called coal ""his worst nightmare.""",energy,james-inhofe,U.S. Senator,Oklahoma,republican,0,1,0,1,0,in a news release,valid,mostly-true
11831.json,barely-true,"Between 1990 and 2013, the maternal mortality rate for women in the U.S. has increased by 136%.",women,sheila-jackson-lee,congresswoman,Texas,democrat,2,1,0,0,0,remarks inserted into the Congressional Record,train,barely-true
9541.json,false,"As Alaskas attorney general, (U.S. Senate candidate Dan) Sullivan successfully fought to protect our Second Amendment rights and passed stand your ground.","candidates-biography,crime,criminal-justice,guns,job-accomplishments",dan-sullivan,Alaska Department of Public Resources commissioner,Alaska,republican,2,2,1,0,0,a radio ad,train,false
10919.json,true,"We reduced the government workforce by 13,000, 11 percent, during my eight years.","florida,jobs,state-budget",jeb-bush,,Florida,republican,17,5,17,24,2,a speech at Gov. Rick Scott's Economic Growth Summit in Orlando,train,true
13475.json,pants-fire,"Donald Trump Protester Speaks Out: I Was Paid $3,500 To Protest Trumps Rally.",fake-news,blog-posting,,,none,7,19,3,5,44,a post on the Internet,train,pants-fire
10646.json,pants-fire,Creflo Dollar needed a $65 million Gulfstream G650 to carry thousands of pounds of food and other supplies -- as well as the Word of God -- worldwide.,"religion,transparency",juda-engelmayer,New York publicist,Georgia,none,0,0,0,0,1,interviews,test,pants-fire
9796.json,false,"When news broke that Ferguson 18-year-old Michael Brown was a suspect in a robbery, MSNBC practically went off the air for a while to have behind-closed-doors meetings to figure out how to deal with this new revelation.","criminal-justice,transparency",rush-limbaugh,Radio host,,none,9,11,5,2,10,comments on his radio show,train,false
9580.json,mostly-true,Says Charlie Crist raised taxes on the middle class by $2.2 billion.,taxes,republican-party-florida,,,republican,10,6,6,6,4,a campaign commercial,train,mostly-true
9093.json,barely-true,Obamacare will drive 2.5 million Americans out of the workforce.,"health-care,jobs",rick-scott,Governor,Florida,republican,28,23,38,34,7,a television ad from Let's Get to Work,test,barely-true
260.json,half-true,Bill Clinton cut the military drastically.,military,rudy-giuliani,Attorney,New York,republican,9,11,10,7,3,"a debate in Manchester, N.H.",valid,half-true
4063.json,true,Says car insurance rates have decreased since about a decade ago because of market-based solutions that attracted more auto insurers to New Jersey.,transportation,chris-christie,Governor of New Jersey,New Jersey,republican,10,17,27,19,8,"an ""On the Line"" interview with Steve Adubato",train,true
2402.json,true,Ed Schultz said Alan Grayson is what its all about.,"message-machine,pundits",alan-grayson,U.S. House of Representatives,Florida,democrat,6,5,4,11,1,a TV ad.,train,true
1004.json,pants-fire,"When one person sneezes, it goes all the way through the aircraft.","health-care,transportation",joe-biden,U.S. senator,Delaware,democrat,11,10,21,16,4,"an interview on ""The Today Show""",train,pants-fire
13276.json,pants-fire,"Of course, there is large scale voter fraud happening on and before election day.","corrections-and-updates,elections",donald-trump,President-Elect,New York,republican,63,114,51,37,61,a tweet,train,pants-fire
6357.json,pants-fire,"Says millions of dollars in tax breaks were paid for by busting unions, cutting BadgerCare, and raising taxes on the poor and the middle class, thanks to Elizabeth Coggs help.","corporations,message-machine-2012,state-budget,taxes",we-are-milwaukee,,,organization,0,0,0,0,1,a campaign flyer,train,pants-fire
6203.json,pants-fire,A company with 20 employees could go out of business because of health care law requirements to buy insurance.,"health-care,small-business",rick-scott,Governor,Florida,republican,28,23,38,34,7,a TV interview with Greta Van Susteren,train,pants-fire
11764.json,pants-fire,Wisconsin dropped from second in the country to 41st among states where more than half the students took the ACT exam.,"children,education,state-budget,states",state-democratic-party-wisconsin,,Wisconsin,democrat,5,7,2,2,7,a news release,test,pants-fire
9661.json,mostly-true,"U.S. Senate candidate Michelle Nunn earned as much as $300,000 running a nonprofit that had laid off 90 workers.",job-accomplishments,ending-spending-action-fund,,,independent,4,0,0,2,0,television attack ad,train,mostly-true
6286.json,pants-fire,Says its not accidental that the villain in the Batman movie is named Bane.,"pop-culture,pundits",rush-limbaugh,Radio host,,none,9,11,5,2,10,his syndicated radio show,train,pants-fire
1520.json,barely-true,I left the city with $43 million in the bank.,job-accomplishments,maurice-ferre,Former mayor of Miami,Florida,democrat,1,0,1,0,0,An interview with Newsmax,train,barely-true
5635.json,barely-true,Says U.S. Rep. Connie Mack took seven and a half years to finish college.,"candidates-biography,education",george-lemieux,,Florida,republican,4,1,6,4,0,a web ad,train,barely-true
12648.json,barely-true,"Many Nevadans relied on Uber for work, but after accepting $70,000 from taxi companies, Catherine Cortez Masto went after Uber ... (driving) them out of town.",transportation,freedom-partners-action-fund,,,organization,1,1,1,0,0,a television ad,test,barely-true
4604.json,pants-fire,"The IRS is already planning on 19,500 new employees to administer Obamas health care mandate.","health-care,new-hampshire-2012",jon-huntsman,,Utah,republican,5,1,5,4,1,"a Republican presidential debate in Hanover, N.H.",valid,pants-fire
10829.json,pants-fire,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,"corrections-and-updates,crime,criminal-justice,sexuality",garnet-coleman,"president, ceo of Apartments for America, Inc.",Texas,democrat,1,0,1,0,1,a committee hearing,train,pants-fire
13257.json,pants-fire,Lindsay Parkhurst wants to take away programs like Social Security and Medicare that seniors have earned throughout their lifetimes.,"medicare,social-security",katherine-cloonen,State Representative ,Illinois,democrat,0,0,0,0,1,a campaign ad,train,pants-fire
1762.json,false,This administration and this Congress have been systematically cutting funding to border security since the Democrats took control.,immigration,mike-pence,Governor,Indiana,republican,8,10,12,5,0,an interview on NBC's 'Meet the Press' ,train,false
6313.json,false,"A proposed tax to fund transportation projects would spend $90,000 to take a single vehicle off the road during the morning and afternoon commute.",transportation,steve-brown,Fayette County Commissioner,Georgia,republican,0,1,1,0,0,a forum hosted by The Atlanta Journal-Constitution,test,false
9954.json,mostly-true,Greg Abbott heads up a party whose platform calls for the repeal of the Voting Rights Act.,"civil-rights,elections",wendy-davis,state senator,Texas,democrat,5,1,8,12,1,a debate in the Rio Grande Valley.,valid,mostly-true
6228.json,mostly-true,"Says while state leaders have cut funding for our schools and other basic priorities, the amount of money the state is projected to give away through tax breaks increased by a whopping $3.4 billion.","state-budget,taxes",our-oregon,political group,Oregon,democrat,0,1,0,3,0,a newsletter.,train,mostly-true
4119.json,mostly-true,Eighty percent of the American people support an approach (to federal budget problems) that includes revenues and includes cuts.,"federal-budget,polls,taxes",barack-obama,President,Illinois,democrat,70,71,160,163,9,a press conference,test,mostly-true
4819.json,mostly-true,Says Rick Perry proposed a binational health insurance program with Mexico.,immigration,d-king,,Georgia,none,0,0,0,1,0,an op-ed,train,mostly-true
11505.json,barely-true,The debt limit deal allows President Obama to borrow unlimited amounts of money.,"debt,deficit,federal-budget",rand-paul,Candidate for U.S. Senate and physician,Kentucky,republican,7,8,10,12,3,"a Republican presidential debate in Boulder, Colo.",train,barely-true
8586.json,mostly-true,"In a poll, 53 percent of young Republican voters . . . under age 35 said that they would describe a climate [change] denier as ignorant, out of touch or crazy.","bipartisanship,cap-and-trade,climate-change,environment,market-regulation,science",sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,2,3,2,7,0,a speech on the floor of the U.S. Senate,valid,mostly-true
81.json,mostly-true,"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",immigration,rudy-giuliani,Attorney,New York,republican,9,11,10,7,3,"St. Petersburg, Fla.",train,mostly-true
13440.json,barely-true,"Democrat Stephen Webber voted to allow sex offenders to be within 500 feet of childcare centers and playgrounds, and even voted to allow sex offenders to be coaches.","candidates-biography,children,crime",caleb-rowden,State representative,Missouri,republican,1,0,1,1,0,a YouTube video,train,barely-true
7321.json,half-true,"As a result of National Rifle Association and other private-sector (safety-education) programs, fatal firearms accidents are at the lowest level in 100 years.","crime,guns",wayne-lapierre,,,none,3,1,3,1,0,testimony before the Senate Judiciary Committee,train,half-true
7704.json,pants-fire,"Nearly 40,000 new jobs have been created in the last year due to the new wells . . . right here in Ohio.","energy,jobs",ohio-oil-and-gas-association,Trade organization,Ohio,none,0,0,0,0,1,a TV/internet ad,train,pants-fire
7488.json,mostly-true,Florida is second in the nation in the uninsured.,"health-care,medicaid",christopher-l-smith,State Senator,Florida,democrat,0,0,2,1,0,a speech,valid,mostly-true
5628.json,barely-true,"Says that while President Barack Obama promised to work with your employer to lower your premiums by $2,500 per family per year, his health care law raises premiums in the individual market by $2,100 per family.","health-care,message-machine-2012",senate-republican-conference,Group representing Senate Republicans,"Washington, D.C.",republican,1,0,1,0,0,a web video,train,barely-true
802.json,false,"If you're a small business and don't ""adopt the health care plan that Senator Obama mandates, he's going to fine you.""",health-care,john-mccain,U.S. senator,Arizona,republican,31,39,31,37,8,"a debate in Hempstead, N.Y.",train,false
12479.json,half-true,Says Donald Trump has the gall to say that prisoners of war like John McCain arent heroes.,"military,veterans",hillary-clinton,Presidential candidate,New York,democrat,40,29,69,76,7,a national security speech in California,valid,half-true
284.json,half-true,"Barack Obama ""said in 2004 there was no difference between (Obama) and George Bush on the war.""",iraq,bill-clinton,former president,Arkansas,democrat,4,2,12,11,3,"Dartmouth, N.H.",train,half-true
5272.json,half-true,Says the U.S. federal income tax rate was 0 percent until 1913.,"history,taxes",ron-paul,U.S. representative,Texas,republican,5,8,8,8,3,a Republican presidential debate in South Carolina,test,half-true
6743.json,false,Says the governor is going around the state talking about [how] we should fund an income tax cut that benefits higher income earners and not lower income earners,"state-budget,state-finances,taxes",john-burzichelli,,,democrat,1,1,0,0,0,an interview with NJToday,test,false
6821.json,pants-fire,"(Barack Obama) says hes going to reduce the long-term debt and deficit by $4 trillion, doesnt say how hes going to do it.","debt,deficit",chris-christie,Governor of New Jersey,New Jersey,republican,10,17,27,19,8,an interview on NBC’s “Meet The Press”,test,pants-fire
8560.json,false,There were $2 billion in earmarks in fiscal year 2012.,congressional-rules,karl-king,Massage therapist,Oregon,none,0,1,0,0,0,a website statement,train,false
12350.json,false,"We have been focusing so much, especially the Texas Department of Transportation, on that 97 percent of people in single-occupancy vehicles.",transportation,sylvester-turner,Attorney,Texas,democrat,0,2,0,2,0,a ceremony to introduce new local transit authority chairman,train,false
11536.json,barely-true,"On the VA: Over 300,000 veterans have died waiting for care.","health-care,veterans",donald-trump,President-Elect,New York,republican,63,114,51,37,61,a speech.,train,barely-true
968.json,true,Warren (Buffett) still does support me.,economy,barack-obama,President,Illinois,democrat,70,71,160,163,9,a television interview,train,true
1773.json,false,Says Gov. Rick Perry failed to involve border sheriffs in developing plans to prevent violence in their communities.,immigration,boyd-richie,Texas Democratic Party chair,Texas,democrat,2,1,0,0,1,a press release,train,false
2408.json,barely-true,Tom Barrett voted for the largest tax increase in history ... raising taxes on gas and Social Security.,"federal-budget,message-machine,taxes",republican-governors-association,,"Washington, D.C.",republican,5,1,6,4,2,a series of campaign TV ads,train,barely-true
8899.json,pants-fire,John Cornyn voted twice in 2013 to back Obamas amnesty plan.,"immigration,voting-record",steve-stockman,U.S. representative,Texas,republican,1,3,0,0,1,a campaign email blast,train,pants-fire
1978.json,false,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,"kagan-nomination,supreme-court",elena-kagan,U.S. solicitor general,New York,democrat,0,0,1,0,0,a law review article,train,false
